QuestIndex,ObjectIndex,TalkKey,TalkData,TalkDelay,PortraitNum,CutsceneKey,TalkEventKey,AnimationKey,EffectSoundKey
,,,그럴수록 점점 더 나는 그가 좋아하는 음식을 만들어보려고 노력했다.,,,,,,
,,,가끔 태우기도/ 간 조절에 실패하기도 했지만 그는 언제나 맛있다며 먹어주었다.,,,,,,
,,,그에게 맛있는 걸 먹여주고 싶어서,,,,,,
,,,연습하고/ 연습하고/ 연습해서,,,,,,
,,,이제야 드디어 맛있게 만들 수 있게 되었는데,,,,,,
,,,이젠 그가 없다.,,,,,,
3000,350,3350,걸레를 찾았다.,,,,,,
,,,며칠 동안이나 쓰지 않아 먼지가 쌓일대로 쌓인 걸레다.,,,,,,
,,,치워야할 곳으로 돌아가자.,,,,,,
4000,150,4150,걸레로 자국들을 닦았다.,,,,,,
,,,이미 스며들어 잘 닦이지는 않는다.,,,,,,
,,,…,,,,,,
,,,마치 내 마음같다.,,,,,,
,,,지워지지 않는 얼룩으로 더렵혀져있다.,,,,,,
,,,지우려 애써도 지워지지 않는다.,,,,,,
,,,옆으로 자꾸만 번지고 번진다.,,,,,,
,,,얼룩을 지우려 마음을 도려내더라도,,,,,,
,,,내 전부가 얼룩이 되어버려 소용이 없다.,,,,,,
5000,111,5111,… …,,,,,,
,,,가상이긴 해도,,,,,,
,,,내가 그토록 사랑했던 사람이다.,,,,,,
,,,그가 날 버리고 갔어도,,,,,,
,,,이유조차 알려주지 않아도,,,,,,
,,,힘들어 하는 내 모습을 보고 표정 하나 변하지 않아도,,,,,,
,,,내가 사랑하니까 ,,,,,,
,,,아프게 만들고 싶지 않다.,,,,,,
,,,행복하게 해주고 싶다.,,,,,,
,,,마지막 하루밖에 남지 않았지만,,,,,,
,,,이 세상에서 가장 행복한 하루를 만들어주고 싶다.,,,,,,
,,,그리고 그와 함께하는 모든 순간들을 추억하고,,,,,,
,,,끝내 그가 좋아하던 환하게 웃는 얼굴로,,,,,,
,,,누구보다도 행복했다고 고마웠다고 말하고 싶다.,,,,,,
,,,사랑했다고.,,,,,,
,,,온 마음을 다해 사랑한다고.,,,,,,
,,,그리고 앞으로도 영원히 사랑할거라고.,,,,,,
,,,그와 함께했던 추억들을 모아오자.,,,,,,
6000,112,6112,그가 선물했던 인형이다.,,,,,,
,,,매일 그렇게 소중하게 여기던 인형이었는데,,,,,,
,,,먼지가 가득한 채 방치되어 있었다.,,,,,,
,,,해맑게 웃는 표정인 줄 알았는데,,,,,,
,,,이제보니 슬픈 표정이었다.,,,,,,
,,,(인형을 꼭 안는다),,,,,,
,,,(흐느낀다),,,,,,
6000,603,6603,그와 함께 갔던 여행지에서 사왔던 기념품 '종'이다.,,,,,,
,,,하필 비가 와서 계획했던 대로 놀지 못하고,,,,,,
,,,숙소에서만 하루종일 있어 그의 기분이 별로 좋지 못했다.,,,,,,
,,,몰래 숙소에서 빠져나와 기념품 가게에서 그가 좋아하는 소리가 나는 작은 종을 샀다.,,,,,,
,,,숙소로 돌아가 우울해 하는 그에게 선물했다.,,,,,,
,,,그는 예상하지 못한 선물에 매우 기뻐했다.,,,,,,
,,,같이 있기만 해도 행복한데 걱정하게 해서 미안하다고 했다.,,,,,,
,,,그 뒤로 우린 이 작은 종을 울리며 행복하게 이야기했다.,,,,,,
,,,그리고/ 잠시 뒤에 거짓말처럼 비가 그쳤다.,,,,,,
6000,701,6701,그의 결혼 반지다.,,,,,,
,,,흐윽…. 흑흑흑….,,,,,,
,,,(반지를 보자 눈물이 쏟아져내렸다),,,,,,
,,,평생 함께할 것이라 맹세했는데,,,,,,
,,,그 어떤 일이 있더라도 행복하게 해주겠다고 약속했는데,,,,,,
,,,손이 잘려나가더라도 빼지 않겠다고 다짐했던 반지가 아직 내 손에 있는데,,,,,,
,,,이 반지의 주인은 더 이상 없었다.,,,,,,
,,,… …,,,,,,
,,,(한참이나 반지를 슬픈 표정으로 응시한다),,,,,,
6000,4,6004,이정도면 될 듯 하다.,,,,,,
,,,이제,,,,,,
,,,그를 만날 시간이다.,,,,,,
,,,… …,,,,,,
7000,111,7111,지금까지와는 조금 다른 마음으로 가상 현실 기기를 집어들었다.,,,,,,
,,,매일 같이 들어왔던 시스템 메시지가 오늘만큼은 조금 다르게/ 아주 약간은 희망적으로 느껴졌다.,,,,,,
7000,2,7002,눈을 떠 보니 역시나 그가 있다.,,,,,,
,,,동그란/ 그리고 약간은 충혈된 두 눈으로 날 바라보는 그가 그 곳에서 여전히 나를 기다리고 있다.,,,,,,
,,,저기,,,,,,
,,,한참을 애꿎은 입술만 깨물다가 기어코 내가 입을 열었다.,,,,,,
,,,그가 약간 움찔거렸다.,,,,,,
,,,저 작은 몸짓을 이제껏 단 한 번도 눈치채지 못했다.,,,,,,
,,,상황이 상황인 만큼 내가 분노에 가득 차서 좋지 않은 말만 쏟아낼 것이라 예상이라도 했던 걸까.,,,,,,
,,,나에 대해 한없이 무심해진 것이 아니라는 것을 반증하는 그의 미세한 움찔거림이,,,,,,
,,,나에게 뒷 말을 이을 용기를 심어주었다.,,,,,,
,,,가기 전에 우리 마지막으로 같이 시간 보내는 건 어떨까?,,,,,,
,,,그의 칠흑같이 까만 동공이 나를 향해 고정되었다.,,,,,,
,,,안 그래도 동그란 눈이 더 동그란 모양을 가지게 되었다.,,,,,,
,,,난 그런 눈 모양도 참 좋아했다고 생각했다.,,,,,,
,,,믿을 수 없다는 듯이 흔들리는 그 두 눈 속에 그는 어떠한 생각을 하며 날 바라보고 있을까.,,,,,,
,,,심하게 아려오는 가슴을 차분하게 가라앉히려 노력하며 (적어도 그래 보이는 상태로) 그의 대답을 기다린다.,,,,,,
,,,… …,,,,,,
,,,한참을 일렁이던 그의 눈동자가 서서히 진정되고/,,,,,,
,,,그의 입가에 걸린 옅은 미소를 발견할 수 있었다.,,,,,,
,,,아주 옅지만 확실한 미소.,,,,,,
,,,아름다운 미소였다.,,,,,,
,,,참으로 그리워했던 미소다.,,,,,,
,,,내 모든 걸 내어주어도 아깝지 않은 미소다.,,,,,,
7000,3,7003,그날부터 우리는 다시 처음으로 돌아간 것 처럼 행복하고 즐거운 나날을 보냈다.,,,,,,
,,,그가 선물해준 인형을 보여주며 처음 받았을 때 처럼 기뻐했다.,,,,,,
,,,먼지가 조금 묻어있지만 잘 닦아서 가지고 있겠다고,,,,,,
,,,선물해줘서 고맙다고 이야기했다.,,,,,,
,,,종 소리를 울리며 해맑은 표정으로 그를 바라보았다.,,,,,,
,,,어느샌가 오고있던 비가,,,,,,
,,,그날처럼 그쳤다.,,,,,,
,,,그가 긴 손가락으로 내가 선물해줬던 종을 약하게 건드렸다. ,,,,,,
,,,나는 주인이 없어진 반지를 주머니에서 꺼내며,,,,,,
,,,다시한 번 고백했다.,,,,,,
,,,그때보다 훨씬 더 많이 사랑한다고,,,,,,
,,,이 반지는 그의 것이라고,,,,,,
,,,나머지 절반은 내가 평생 가지고 있을테니까,,,,,,
,,,나중에 다시 만날 때까지 꼭 가지고 있어달라고 말했다.,,,,,,
,,,바쁜 일상에 치여 한없이 뒤로 미루어 놓았던 것들을 시도해보고/ 가지 못한 곳도 가보았다.,,,,,,
,,,반복되는 하루라는 시간 제약이 걸린 데이트였지만/,,,,,,
,,,분명 접속할 때 마다 그와 보냈던 시간은 그의 기억에 없었지만/,,,,,,
,,,나는 어째서인지 어제의 그와/ 오늘의 그가 이어진 것만 같은 기분을 느꼈다.,,,,,,
,,,우리는 여러 장소에서 다양한 추억을 새롭게 만들어갔다.,,,,,,
,,,이전에 함께 화이트보드에 작성해 놓았던 장소들/ 일정들에 하나씩 반듯한 밑줄이 그어지기 시작했다.,,,,,,
,,,숨을 크게 들이마셨고 살아있다는 기분이 들었다.,,,,,,
8000,111,8111,나는 계속해서 마약에 중독된 사람처럼 가상현실 기기를 찾았고/ 그와 함게 시간을 보냈다.,,,,,,
,,,그러다,,,,,,
,,,어느 날 문득/,,,,,,
,,,진짜 그가 생각이 났다.,,,,,,
,,,그는 가상 현실 속에서 나와 함께 있는 것이 아니라,,,,,,
,,,차가운 단지 속에서 혼자 있었다.,,,,,,
,,,내가 바라고 있는 결말이란 이미 존재할 수 없다.,,,,,,
,,,현실에서는 그를 볼 수 없기에/ 내 삶은 이미 여럿 망가졌다는 것을 떠올렸다.,,,,,,
,,,그저 잡을 수도 닿을 수도 없는 허공에 아무리 손을 뻗어보아도 잡히는 건 부유하는 먼지뿐이라는 것을.,,,,,,
,,,두 눈을 꼭 감은채 부정하고 있었던 사실을 어쩔 수 없이 깨달은 그 순간까지.,,,,,Post-FadeOut,
